"Namn","Pris","Volym","Varugrupp","Typ","Stil","PrisPerLiter","Producent","Ursprunglandnamn","Alkoholhalt","year","SortimentText"
"Sunshine Lollipops Session IPA",24.9,330,"Öl","Ale brittisk-amerikansk stil","Session IPA",75.46,"Brewing Költur","Sverige","4.50%",2017,"Lokalt och småskaligt"
"Hantverksbryggeriet - Råg och Rabarber",26.9,330,"Öl","Ale brittisk-amerikansk stil","",81.52,"Hantverksbryggeriet","Sverige","5.30%",2017,"Lokalt och småskaligt"
"Oppigårds - Single Hop Ale",18.5,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",56.06,"Oppigårds Bryggeri AB","Sverige","4.80%",2009,"Ordinarie sortiment"
"Grebbestad - Lager",18.5,330,"Öl","Ljus lager","Pilsner - tysk stil",56.06,"Grebbestads Bryggeri","Sverige","5.00%",2009,"Övrigt sortiment"
"St Peter's - G-Free Ale Glutenfri",36.7,500,"Öl","Ale brittisk-amerikansk stil","Golden/Blond ale",73.4,"St Peter's Brewery","Storbritannien","4.20%",2009,"Övrigt sortiment"
"Fuller's - Golden Pride",19.9,330,"Öl","Ale brittisk-amerikansk stil","Strong ale",60.3,"Fuller Smith & Turner","Storbritannien","8.50%",2009,"Övrigt sortiment"
"Cubanero Fuerte",38.4,350,"Öl","Ljus lager","Internationell stil",109.71,"Bucanero","Kuba","5.40%",2009,"Övrigt sortiment"
"Chimay - Röd",28.9,330,"Öl","Ale belgisk stil","Belgisk mörk ale",87.58,"Chimay","Belgien","7.00%",2009,"Övrigt sortiment"
"Sierra Nevada - Porter",26.9,355,"Öl","Porter och stout","Torr porter och stout",75.78,"Sierra Nevada Brewing","USA","5.60%",2009,"Ordinarie sortiment"
"Runöl - Export",20.3,500,"Öl","Ljus lager","",40.6,"Millingstorp Gårdsbryggeri AB","Internationellt märke","5.00%",2009,"Övrigt sortiment"
"Pax Regina",29.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",90.61,"Pax Brygghus","Sverige","7.50%",2017,"Lokalt och småskaligt"
"Grythyttans Brygghus - Weissbier",19.6,330,"Öl","Veteöl","Hefeweizen",59.39,"Grythyttans Brygghus AB","Sverige","5.00%",2017,"Lokalt och småskaligt"
"Enskede Gårdsöl",28.5,330,"Öl","Ale belgisk stil","Saison",86.36,"Gamla Enskede Bryggeri","Sverige","4.70%",2017,"Lokalt och småskaligt"
"Aurora Borealis - Golden Ale",26,330,"Öl","Ale brittisk-amerikansk stil","Strong ale",78.79,"Wessingekälla Brygghus","Sverige","7.20%",2017,"Lokalt och småskaligt"
"Qvänum Stout",39.9,330,"Öl","Porter och stout","",120.91,"Qvänum Mat & Malt AB","Sverige","9.50%",2017,"Lokalt och småskaligt"
"Trädgårdslager - Bohemian Pilsner",27.8,330,"Öl","Ljus lager","Pilsner - tjeckisk stil",84.24,"Rocksolid Brewing","Sverige","5.80%",2017,"Lokalt och småskaligt"
"Wapnö Frille - APA",23.6,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",71.52,"Wapnö AB","Sverige","5.50%",2017,"Lokalt och småskaligt"
"Pils Modernum",24.9,330,"Öl","Ljus lager","Modern stil",75.46,"Spike Brewery AB","Sverige","4.90%",2017,"Lokalt och småskaligt"
"Skogsröjet - Rejmyre Pale ale",28,330,"Öl","Ale brittisk-amerikansk stil","",84.85,"Nääs Gårdsbryggeri AB","Sverige","5.20%",2017,"Lokalt och småskaligt"
"Stationens Pale Ale",30.4,330,"Öl","Ale brittisk-amerikansk stil","",92.12,"Röstånga RajRaj AB","Sverige","4.50%",2017,"Lokalt och småskaligt"
"Eskilstuna Red IPA",24.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",75.46,"Eskilstuna Ölkultur","Sverige","5.30%",2017,"Lokalt och småskaligt"
"Oceanbryggeriet - Stallbacken IPA",24.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",75.46,"Oceanbryggeriet","Sverige","5.90%",2017,"Lokalt och småskaligt"
"Lilla Ölfabriken - Mälterskans Fläder",29.9,330,"Öl","Ale belgisk stil","Saison",90.61,"Lilla Ölfabriken","Sverige","7.50%",2017,"Lokalt och småskaligt"
"Zwarte Draak",59.9,330,"Öl","Ale belgisk stil","Belgisk mörk ale",181.52,"Jackdaw Brewery AB","Sverige","14.00%",2017,"Lokalt och småskaligt"
"Ballast Point - Manta Ray DIPA",30.9,355,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",87.04,"Ballast Point Brewing","USA","8.50%",2017,"Övrigt sortiment"
"Ballast Point - Victory At Sea Imperial Porter with Coffée & Vanilla",34.9,355,"Öl","Porter och stout","Imperial porter och stout",98.31,"Ballast Point Brewing","USA","10.00%",2017,"Övrigt sortiment"
"Dykes Brewery - Brown Ale",29.9,330,"Öl","Ale brittisk-amerikansk stil","Brown ale",90.61,"Dykes Brewery","Sverige","5.30%",2017,"Lokalt och småskaligt"
"Extra Mile - Sour Passion",33,330,"Öl","Syrlig öl","",100,"The Extra Mile HB","Sverige","6.00%",2017,"Lokalt och småskaligt"
"The Falconers",25.9,330,"Öl","Ale brittisk-amerikansk stil","",78.49,"Jemtehed & Brande","Sverige","4.50%",2017,"Lokalt och småskaligt"
"Ysta Påskbrygd",27.6,500,"Öl","Mellanmörk lager","Märzen och wienerstil",55.2,"Två Bryggare/ÖsterlenBryggarna AB","Sverige","5.40%",2009,"Övrigt sortiment"
"Holgate - Temptress Chocolate Porter",50.6,330,"Öl","Porter och stout","Söt porter och stout",153.33,"Holgate Brewhouse","Australien","6.00%",2009,"Övrigt sortiment"
"Oceanbryggeriet - India Pale Ale",30.6,500,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",61.2,"Oceanbryggeriet","Sverige","5.40%",2009,"Övrigt sortiment"
"McBrian - Ale",42,500,"Öl","Ale brittisk-amerikansk stil","Amber ale",84,"Qvänum Mat & Malt AB","Sverige","6.50%",2009,"Lokalt och småskaligt"
"Eriksberg",16.5,500,"Öl","Ljus lager","Dortmunder och helles",33,"Carlsberg Sverige AB","Sverige","5.30%",2003,"Ordinarie sortiment"
"Westmalle - Dubbel",29.4,330,"Öl","Ale belgisk stil","Dubbel",89.09,"Abbey of Westmalle","Belgien","7.00%",2003,"Övrigt sortiment"
"Holgate - Hopinator",50.2,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",152.12,"Holgate Brewhouse","Australien","7.00%",2009,"Övrigt sortiment"
"Fuller's - Organic Honey Dew",26.9,500,"Öl","Ale brittisk-amerikansk stil","Golden/Blond ale",53.8,"Fuller Smith & Turner","Storbritannien","5.00%",2003,"Övrigt sortiment"
"Little Creatures - Pale Ale",42.4,330,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",128.49,"Little Creatures","Australien","5.20%",2009,"Övrigt sortiment"
"Casablanca Beer",35,350,"Öl","Ljus lager","Internationell stil",100,"Brasseries du Maroc","Marocko","5.00%",2009,"Övrigt sortiment"
"Quilmes",30.1,330,"Öl","Ljus lager","Internationell stil",91.21,"Cerveceria Y Malteria Quilmes","Argentina","4.90%",2009,"Övrigt sortiment"
"Bell",37.9,500,"Öl","Ljus lager","Internationell stil",75.8,"Ugandan Breweries","Uganda","4.00%",2009,"Övrigt sortiment"
"Köstritzer - Schwarzbier",17.9,330,"Öl","Mörk lager","Schwarzbier",54.24,"Köstritzer Schwarzbierbrauerei","Tyskland","4.80%",2009,"Övrigt sortiment"
"Tusker",39.2,500,"Öl","Ljus lager","Internationell stil",78.4,"Kenya Breweries Ltd","Kenya","4.20%",2009,"Övrigt sortiment"
"Weihenstephaner - Hefeweissbier Dunkel",23.9,500,"Öl","Veteöl","Dunkelweizen",47.8,"Weihenstephan","Tyskland","5.30%",2009,"Övrigt sortiment"
"Kåtöl - Modern IPA",29.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",90.61,"Ljusdals Bryggeri AB","Sverige","6.00%",2017,"Övrigt sortiment"
"Skebo - Lantöl",29.3,500,"Öl","Ale brittisk-amerikansk stil","Engelsk pale ale och bitter",58.6,"Skebo Bruksbryggeri","Sverige","5.40%",2009,"Lokalt och småskaligt"
"Hop Shed - Red India Pale Ale",34.1,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",103.33,"Hop shed brewery AB","Sverige","6.10%",2017,"Övrigt sortiment"
"Kona - Hanalei India Pale Ale",22.9,355,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",64.51,"Kona Brewing Co","USA","4.50%",2017,"Övrigt sortiment"
"De Vos - Belgisk Öl Mixed Box 1",417.6,3960,"Öl","Ale belgisk stil","",105.46,"Brouwerij 't Verzet","Belgien","7.00%",2017,"Övrigt sortiment"
"De Vos - Belgisk Öl Mixed Box 2",433.2,3960,"Öl","Ale belgisk stil","",109.39,"Brouwerij 't Verzet","Belgien","7.50%",2017,"Övrigt sortiment"
"Bronx Banner - A Golden Easy Ale",25.4,355,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",71.55,"Bronx Brewery","USA","4.80%",2017,"Övrigt sortiment"
"Bakalar - Svetlý Lezák",19.9,500,"Öl","Ljus lager","Pilsner - tjeckisk stil",39.8,"Tradicni Pivovar v Rakovniku a.s.","Tjeckien","4.90%",2017,"Övrigt sortiment"
"Bakalar - Medovy Speciál",25.5,500,"Öl","Ljus lager","Starkare lager",51,"Tradicni Pivovar v Rakovniku a.s.","Tjeckien","5.80%",2017,"Övrigt sortiment"
"Bakalar - Za Studena Chmelený",23.6,500,"Öl","Ljus lager","Pilsner - tjeckisk stil",47.2,"Tradicni Pivovar v Rakovniku a.s.","Tjeckien","5.20%",2017,"Övrigt sortiment"
"Skebo - Triple Gold Bitter",27.8,500,"Öl","Ale brittisk-amerikansk stil","Engelsk pale ale och bitter",55.6,"Skebo Bruksbryggeri","Sverige","4.50%",2009,"Lokalt och småskaligt"
"Gjutarns Bästa Ale",29.3,500,"Öl","Ale brittisk-amerikansk stil","Engelsk pale ale och bitter",58.6,"Skebo Bruksbryggeri","Sverige","5.20%",2009,"Lokalt och småskaligt"
"Skebo - Bruksöl",27.8,500,"Öl","Ale brittisk-amerikansk stil","Golden/Blond ale",55.6,"Skebo Bruksbryggeri","Sverige","4.70%",2009,"Lokalt och småskaligt"
"San Miguel - Eco",13.1,250,"Öl","Ljus lager","Internationell stil",52.4,"San Miguel","Spanien","4.20%",2009,"Övrigt sortiment"
"Munken - Klosteröl",39.9,330,"Öl","Ale belgisk stil","Belgisk mörk ale",120.91,"Hantverksbryggeriet","Sverige","8.50%",2009,"Lokalt och småskaligt"
"Breznak",11.9,330,"Öl","Ljus lager","Pilsner - tjeckisk stil",36.06,"Drinks Union","Tjeckien","5.10%",2009,"Ordinarie sortiment"
"Nektar",12.8,330,"Öl","Ljus lager","",38.79,"Banjalucka Pivara","Bosnien-Hercegovina","5.00%",2009,"Övrigt sortiment"
"Sarajevsko",13.8,330,"Öl","Ljus lager","",41.82,"Sarajevska Pivara","Bosnien-Hercegovina","4.90%",2009,"Övrigt sortiment"
"Lasko - Club",12.8,330,"Öl","Ljus lager","",38.79,"Pivovarna Lasko","Slovenien","4.90%",2009,"Övrigt sortiment"
"Zeitgeist - Black Lager",19.9,330,"Öl","Mörk lager","Schwarzbier",60.3,"BrewDog","Storbritannien","4.70%",2009,"Ordinarie sortiment"
"Hanoi Beer",31.5,330,"Öl","Ljus lager","Internationell stil",95.46,"Hanoi Beer","Vietnam","5.10%",2009,"Övrigt sortiment"
"Cusquena",38,330,"Öl","Ljus lager","Internationell stil",115.15,"SAB Miller","Peru","4.80%",2009,"Övrigt sortiment"
"Wisby Pils",19.5,330,"Öl","Ljus lager","Pilsner - tysk stil",59.09,"Gotlands Bryggeri","Sverige","5.00%",2003,"Ordinarie sortiment"
"La Trappe - Witte Trappist",21.3,330,"Öl","Veteöl","Witbier",64.55,"De Koningshoeven","Nederländerna","5.50%",2009,"Övrigt sortiment"
"Sierra Nevada - Torpedo Extra IPA",25.9,355,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",72.96,"Sierra Nevada Brewing","USA","7.20%",2009,"Ordinarie sortiment"
"Brewdog - Abstrakt 22",129.9,375,"Öl","Porter och stout","Imperial porter och stout",346.4,"BrewDog","USA","12.50%",2017,"Små partier"
"Carlsberg Export",15.9,500,"Öl","Ljus lager","Internationell stil",31.8,"Carlsberg Sverige AB","Internationellt märke","5.00%",2009,"Ordinarie sortiment"
"Brygghuset Finn - Hjärta Landskrona Pilsner",25,330,"Öl","Ljus lager","Pilsner - tysk stil",75.76,"Brygghuset Finn","Sverige","4.40%",2017,"Övrigt sortiment"
"Raspberry Dream",38.3,330,"Öl","Ale oklassificerat","",116.06,"Lost island brewery","Sverige","5.90%",2017,"Övrigt sortiment"
"Ballast Point - Habanero Sculpin IPA",29.9,355,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",84.23,"Ballast Point Brewing","USA","7.00%",2017,"Övrigt sortiment"
"Forbidden Fruit",33.5,330,"Öl","Ljus lager","",101.52,"Klackabackens Bryggeri AB","Sverige","5.80%",2017,"Övrigt sortiment"
"Tiger Beer",16.7,330,"Öl","Ljus lager","Internationell stil",50.61,"Asia Pacific Breweries","Singapore","4.60%",2009,"Övrigt sortiment"
"Wisby - Klosteröl",19.1,330,"Öl","Ale belgisk stil","Belgisk ljus ale",57.88,"Gotlands Bryggeri","Sverige","5.00%",2009,"Ordinarie sortiment"
"Swedish Elk Brew",12,330,"Öl","Ljus lager","Starkare lager",36.36,"Kopparbergs Bryggeri","Sverige","7.50%",2009,"Ordinarie sortiment"
"Carnegie - Porter",16.9,330,"Öl","Porter och stout","Torr porter och stout",51.21,"Carlsberg Sverige AB","Sverige","5.50%",2009,"Ordinarie sortiment"
"Staropramen Dark",16.9,330,"Öl","Mörk lager","Dunkel",51.21,"Staropramen","Tjeckien","4.40%",2003,"Ordinarie sortiment"
"Staropramen - Granát",2158.3,30000,"Öl","Mellanmörk lager","Polotmavý",71.94,"Staropramen","Tjeckien","4.80%",2009,"Övrigt sortiment"
"Palma Louca",36.2,355,"Öl","Ljus lager","Internationell stil",101.97,"Cervejarias Kaiser","Brasilien","4.60%",2009,"Övrigt sortiment"
"Sierra Nevada - Pale Ale",23.9,355,"Öl","Ale brittisk-amerikansk stil","Amerikansk pale ale (APA)",67.32,"Sierra Nevada Brewing","USA","5.60%",2017,"Övrigt sortiment"
"Slussvaktaren",30.5,500,"Öl","Ale brittisk-amerikansk stil","Engelsk pale ale och bitter",61,"Strömsholms Brygghus","Sverige","4.50%",2009,"Lokalt och småskaligt"
"Pardubický - Baltic Porter",30,500,"Öl","Porter och stout","",60,"Pardubický Pivovar a.s.","Tjeckien","8.00%",2017,"Övrigt sortiment"
"Zlatopramen - Premium",16.9,500,"Öl","Ljus lager","Pilsner - tjeckisk stil",33.8,"Drinks Union","Tjeckien","4.90%",2003,"Ordinarie sortiment"
"Oceanbryggeriet - Göteborgsporter",30.7,500,"Öl","Porter och stout","Torr porter och stout",61.4,"Oceanbryggeriet","Sverige","5.00%",2009,"Lokalt och småskaligt"
"Sleepy Bulldog - Pale Ale",19.1,330,"Öl","Ale brittisk-amerikansk stil","Engelsk pale ale och bitter",57.88,"Gotlands Bryggeri","Sverige","4.80%",2009,"Ordinarie sortiment"
"Tsingtao Beer",24.1,330,"Öl","Ljus lager","Internationell stil",73.03,"Tsingtao Brewery","Folkrepubliken Kina","4.70%",2009,"Övrigt sortiment"
"Noël de Silenrieux",86.7,750,"Öl","Ale belgisk stil","Belgisk mörk ale",115.6,"Brasserie de Silenrieux","Belgien","9.00%",2009,"Övrigt sortiment"
"Noël de Silenrieux",40.8,250,"Öl","Ale belgisk stil","Belgisk mörk ale",163.2,"Brasserie de Silenrieux","Belgien","9.00%",2009,"Övrigt sortiment"
"Sara - Bio",33.4,250,"Öl","Ale belgisk stil","Belgisk ljus ale",133.6,"Brasserie de Silenrieux","Belgien","6.00%",2009,"Övrigt sortiment"
"Fuller's - London Porter",26.9,500,"Öl","Porter och stout","Torr porter och stout",53.8,"Fuller Smith & Turner","Storbritannien","5.40%",2003,"Övrigt sortiment"
"König Ludwig - Weissbier",21.9,500,"Öl","Veteöl","Hefeweizen",43.8,"Kaltenberg","Tyskland","5.50%",2003,"Övrigt sortiment"
"Askersundare - N Stor Stark",25.5,500,"Öl","Ljus lager","Internationell stil",51,"Brewery Olvi Plc","Finland","5.00%",2017,"Övrigt sortiment"
"Baltazar - Hoppy Lager",33.5,330,"Öl","Ljus lager","Modern stil",101.52,"Cyrkon d.o.o","Kroatien","5.60%",2017,"Övrigt sortiment"
"Stiegl - Weisse",23.5,500,"Öl","Veteöl","",47,"Stiegl Brauerei","Österrike","5.10%",2017,"Övrigt sortiment"
"San Miguel - Glutenfri",16.4,330,"Öl","Ljus lager","Internationell stil",49.7,"Grupo Mahou San Miguel","Spanien","5.40%",2017,"Övrigt sortiment"
"Samuel Adams - American Summer",299,4260,"Öl","Annan öl","Öl av flera typer/stilar",70.19,"Boston Beer Company","USA","5.30%",2017,"Övrigt sortiment"
"Weltenburger Klosterbier - Hefe-Weissbier Hell",27.3,500,"Öl","Veteöl","Hefeweizen",54.6,"Weltenburg Klosterbrauerei","Tyskland","5.10%",2004,"Övrigt sortiment"
"Weltenburger - Kloster Pils",21,330,"Öl","Ljus lager","Pilsner - tysk stil",63.64,"Weltenburg Klosterbrauerei","Tyskland","4.70%",2004,"Övrigt sortiment"
"Nektar",16.8,500,"Öl","Ljus lager","",33.6,"Banjalucka Pivara","Bosnien-Hercegovina","5.00%",2009,"Övrigt sortiment"
"Lasko - Club",15.8,500,"Öl","Ljus lager","",31.6,"Pivovarna Lasko","Slovenien","4.90%",2009,"Övrigt sortiment"
"James Boag's - Premium Lager",35,375,"Öl","Ljus lager","Internationell stil",93.33,"J Boag & Son Brewing","Australien","5.00%",2009,"Övrigt sortiment"
"Hinano Tahiti",34.3,330,"Öl","Ljus lager","Internationell stil",103.94,"Brasserie de Tahiti","Frankrike","5.00%",2009,"Övrigt sortiment"
"Murphy's - Irish Red Beer",1525,30000,"Öl","Ale brittisk-amerikansk stil","Irländsk ale",50.83,"Murphy Brewery","Irland","5.00%",2009,"Övrigt sortiment"
"Fuller's 1845",26.9,500,"Öl","Ale brittisk-amerikansk stil","Strong ale",53.8,"Fuller Smith & Turner","Storbritannien","6.30%",2003,"Övrigt sortiment"
"Maxlrainer - Schloss Weisse",39.6,500,"Öl","Veteöl","Dunkelweizen",79.2,"Schlossbrauerei Maxlrainer","Tyskland","5.00%",2010,"Övrigt sortiment"
"Maxlrainer - Schloss Gold",35.9,500,"Öl","Ljus lager","Dortmunder och helles",71.8,"Schlossbrauerei Maxlrainer","Tyskland","5.30%",2010,"Övrigt sortiment"
"Maxlrainer - Leo Weisse",40.2,500,"Öl","Veteöl","Hefeweizen",80.4,"Schlossbrauerei Maxlrainer","Tyskland","5.00%",2010,"Övrigt sortiment"
"Maxlrainer - Pils",31.3,330,"Öl","Ljus lager","Pilsner - tysk stil",94.85,"Schlossbrauerei Maxlrainer","Tyskland","4.90%",2010,"Övrigt sortiment"
"Maxlrainer - Schloss Trunk",40.2,500,"Öl","Ljus lager","Zwickel, keller- och landbier",80.4,"Schlossbrauerei Maxlrainer","Tyskland","5.30%",2010,"Övrigt sortiment"
"Maxlrainer - Zwickl Max",31.6,330,"Öl","Ljus lager","Zwickel, keller- och landbier",95.76,"Schlossbrauerei Maxlrainer","Tyskland","5.20%",2010,"Övrigt sortiment"
"Maxlrainer - Aiblinger Schwarzbier",37,500,"Öl","Mörk lager","Schwarzbier",74,"Schlossbrauerei Maxlrainer","Tyskland","5.00%",2010,"Övrigt sortiment"
"Taste Belgium Pack",130,1240,"Öl","Annan öl","",104.84,"Duvel Moortgat","Belgien","7.60%",2017,"Övrigt sortiment"
"Ballast Point - Watermelon Dorado Double IPA",19.9,355,"Öl","Ale brittisk-amerikansk stil","Imperial/Dubbel IPA",56.06,"Ballast Point Brewing","USA","10.00%",2017,"Övrigt sortiment"
"Ballast Point - Pineapple Sculpin Indian Pale Ale",19.9,355,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",56.06,"Ballast Point Brewing","USA","7.00%",2017,"Övrigt sortiment"
"Mixpack Tjeckisk Öl",285,5000,"Öl","Annan öl","Öl av flera typer/stilar",57,"Flera producenter","Tjeckien","4.70%",2017,"Övrigt sortiment"
"Mixpack Tjeckisk öl 20st",494,10000,"Öl","Annan öl","",49.4,"Flera producenter","Tjeckien","4.30%",2017,"Övrigt sortiment"
"Skjálfti",28.1,330,"Öl","Mellanmörk lager","California common",85.15,"Ölvisholt Brugghús","Island","4.70%",2010,"Övrigt sortiment"
"Lava - Smoked Imperial Stout",42.4,330,"Öl","Porter och stout","Imperial porter och stout",128.49,"Ölvisholt Brugghús","Island","9.40%",2010,"Övrigt sortiment"
"Mori - Red Ale",29.1,330,"Öl","Ale brittisk-amerikansk stil","Amber ale",88.18,"Ölvisholt Brugghús","Island","5.50%",2010,"Övrigt sortiment"
"BrewDog Trashy Blonde",21.9,330,"Öl","Ale brittisk-amerikansk stil","Golden/Blond ale",66.36,"BrewDog","Storbritannien","4.10%",2010,"Ordinarie sortiment"
"Bryggmästarens - Pilsner",1332.7,30000,"Öl","Ljus lager","Internationell stil",44.42,"Åbro Bryggeri","Sverige","5.00%",2003,"Övrigt sortiment"
"Småland - Extra",16.1,500,"Öl","Ljus lager","Starkare lager",32.2,"Åbro Bryggeri","Sverige","7.20%",2010,"Övrigt sortiment"
"Småland",15,500,"Öl","Ljus lager","Pilsner - tjeckisk stil",30,"Åbro Bryggeri","Sverige","5.20%",2010,"Övrigt sortiment"
"Carlsberg Hof - Organic",15.4,500,"Öl","Ljus lager","Internationell stil",30.8,"Carlsberg Sverige AB","Internationellt märke","4.20%",2010,"Ordinarie sortiment"
"Bryggmästarens - Bästa Pilsner",15,500,"Öl","Ljus lager","Pilsner - tysk stil",30,"Åbro Bryggeri","Sverige","5.00%",2010,"Övrigt sortiment"
"St Andrews Ale",26.9,500,"Öl","Ale brittisk-amerikansk stil","Skotsk ale",53.8,"Belhaven Brewery","Storbritannien","4.60%",2010,"Övrigt sortiment"
"New Belgium - Citradelic Tangerine IPA",26.9,355,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",75.78,"New Belgium Brewing Co.","USA","6.00%",2017,"Övrigt sortiment"
"Timmermans - Peach",19.7,250,"Öl","Syrlig öl","Lambic - frukt och bär",78.8,"Timmermans","Belgien","4.00%",2003,"Övrigt sortiment"
"Timmermans - Framboise",20.9,250,"Öl","Syrlig öl","Lambic - frukt och bär",83.6,"Timmermans","Belgien","4.00%",2003,"Övrigt sortiment"
"Tripel Karmeliet",26.9,330,"Öl","Ale belgisk stil","Belgisk ljus ale",81.52,"Brouwerij Bosteels","Belgien","8.40%",2003,"Övrigt sortiment"
"Chimay - Premiere",78,750,"Öl","Ale belgisk stil","Belgisk mörk ale",104,"Chimay","Belgien","7.00%",2003,"Övrigt sortiment"
"Chimay - Grand Réserve",88,750,"Öl","Ale belgisk stil","Belgisk mörk ale",117.33,"Chimay","Belgien","9.00%",2003,"Övrigt sortiment"
"Chimay - Cinq Cents",83,750,"Öl","Ale belgisk stil","Trippel",110.67,"Chimay","Belgien","8.00%",2003,"Övrigt sortiment"
"Kwak",68.5,750,"Öl","Ale belgisk stil","Belgisk ljus ale",91.33,"Brouwerij Bosteels","Belgien","8.00%",2003,"Övrigt sortiment"
"Lasko - Club",14.3,330,"Öl","Ljus lager","",43.33,"Pivovarna Lasko","Slovenien","4.90%",2010,"Övrigt sortiment"
"HY - Cuvée",182.3,750,"Öl","Ale belgisk stil","",243.07,"Zago","Italien","11.00%",2010,"Övrigt sortiment"
"St Peter's Cream Stout",29.9,500,"Öl","Porter och stout","Torr porter och stout",59.8,"St Peter's Brewery","Storbritannien","6.50%",2003,"Ordinarie sortiment"
"Red Horse",103.7,1000,"Öl","Ljus lager","Starkare lager",103.7,"San Miguel Philippines","Filippinerna","7.00%",2010,"Övrigt sortiment"
"Red Horse",52.1,500,"Öl","Ljus lager","Starkare lager",104.2,"San Miguel Philippines","Filippinerna","7.00%",2010,"Övrigt sortiment"
"Norrlands Guld - Export",1409,30000,"Öl","Ljus lager","Internationell stil",46.97,"Spendrups","Sverige","5.30%",2003,"Övrigt sortiment"
"Taybeh Beer - Golden",40.6,330,"Öl","Ljus lager","Internationell stil",123.03,"Taybeh","Palestina","5.00%",2010,"Övrigt sortiment"
"Black Diamond - Imperial Indian Pale Ale",46.8,355,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",131.83,"Black Diamond Brewing Company","USA","9.00%",2017,"Övrigt sortiment"
"Boon Kriek - Lambic",39.9,375,"Öl","Syrlig öl","Lambic - frukt och bär",106.4,"N.V. Brouwerij","Belgien","4.00%",2010,"Övrigt sortiment"
"Boon Oude Geuze - Lambic",45,375,"Öl","Syrlig öl","Lambic - gueuze",120,"N.V. Brouwerij","Belgien","6.50%",2010,"Övrigt sortiment"
"San Miguel",33.6,1000,"Öl","Ljus lager","Internationell stil",33.6,"San Miguel","Spanien","4.50%",2010,"Övrigt sortiment"
"Alhambra Reserva 1925",16.9,330,"Öl","Ljus lager","Starkare lager",51.21,"San Miguel","Spanien","6.40%",2010,"Övrigt sortiment"
"Mahou Cinco Estrella",16.3,330,"Öl","Ljus lager","Internationell stil",49.39,"San Miguel","Spanien","5.50%",2010,"Övrigt sortiment"
"S:t Eriks IPA",19.9,330,"Öl","Ale brittisk-amerikansk stil","India pale ale (IPA)",60.3,"S:t Eriks Bryggeri","Sverige","5.30%",2010,"Ordinarie sortiment"
"Pripps Blå - Export",10.9,330,"Öl","Ljus lager","Internationell stil",33.03,"Carlsberg Sverige AB","Sverige","5.00%",2010,"Ordinarie sortiment"
"Leo Beer",26,630,"Öl","Ljus lager","Internationell stil",41.27,"Singha Corporation","Thailand","5.00%",2010,"Övrigt sortiment"
"Guinness",2105.2,30000,"Öl","Porter och stout","Torr porter och stout",70.17,"Guinness","Irland","4.20%",2003,"Övrigt sortiment"
"Monkey Wrench",40.7,500,"Öl","Ale brittisk-amerikansk stil","Strong ale",81.4,"Daleside Brewery","Storbritannien","5.30%",2010,"Övrigt sortiment"
"Crocodile Lager",11.5,330,"Öl","Ljus lager","Internationell stil",34.85,"Krönleins","Sverige","5.20%",2010,"Övrigt sortiment"
"Boon Framboise",49,375,"Öl","Syrlig öl","Lambic - frukt och bär",130.67,"Brouwerij Boon","Belgien","5.00%",2010,"Övrigt sortiment"
"Boon Oude Geuze - Mariage Parfait",39.9,375,"Öl","Syrlig öl","Lambic - gueuze",106.4,"Brouwerij Boon","Belgien","8.00%",2010,"Övrigt sortiment"
"Sabaton - The Last Beer",24.9,330,"Öl","Ljus lager","Pilsner - tysk stil",75.46,"Eskilstuna Ölkultur","Sverige","5.00%",2017,"Övrigt sortiment"
"Jelen Pivo",16.9,330,"Öl","Ljus lager","Internationell stil",51.21,"Apatinska Pivara Apatin","Serbien","5.00%",2010,"Övrigt sortiment"
"Gammelbacka - Brown Ale",26.7,330,"Öl","Ale brittisk-amerikansk stil","Brown ale",80.91,"Gammelbacka Bryggeri AB","Sverige","4.60%",2017,"Övrigt sortiment"
"Gammelbacka - Rököl",31.3,330,"Öl","Mellanmörk lager","",94.85,"Gammelbacka Bryggeri AB","Sverige","5.00%",2017,"Övrigt sortiment"
"Svaneke - Greenkeeper pilsner",19.9,330,"Öl","Ljus lager","Pilsner - tysk stil",60.3,"Svaneke Bryghus","Danmark","4.80%",2017,"Övrigt sortiment"
